chromosome	start 	end 	gene	mutation								
22	28687743	28742422	CHEK2	Soft_tissue:Extraskeletal_osteosarcoma(CHEK2_mutated)|Genetic_tumor_syndrome:Li-Fraumeni_syndrome_2(CHEK2)								
3	87227271	87255556	CHMP2B	Soft_tissue:Haemosiderotic_fibrolipomatous_tumour(CHM2B_amp)								
2	232525993	232536667	CHRND	Soft_tissue:Ectomesenchymoma(CHRND_amp)								
19	42268537	42295797	CIC	Soft_tissue:Angiosarcomas(CIC_mutated)|Undifferentiated_small_round_cell_sarcoma:CIC-rearranged_sarcoma(CIC::DUX4,CIC::FOXO4,CIC::LEUTX,CIC::NUTM1,CIC::NUTM2A,CIC::)								
6	139371807	139374648	CITED2	Soft_tissue:Spindle_cell/sclerosing_rhabdomyosarcoma(VGLL2::CITED2);Undifferentiated_sarcoma(CITED2::PRDM10)								
17	59619680	59696956	CLTC	Soft_tissue:Inflammatory_myofibroblastic_tumour(CLTC::ALK)								
3	129167827	129183922	CNBP	Bone_tumor:Aneurysmal_bone_cyst(CNBP::USP6)								
6	75084326	75206267	COL12A1	Bone_tumor:Subungual_exostosis(IRS4_SV);Chondromyxoid_fibroma(COL12A1::GRM1)								
17	50184101	50201632	COL1A1	Soft_tissue:Giant_cell_fibroblastoma(COL1A1::PDGFB);Dermatofibrosarcoma_protuberans(COL1A1::PDGFB)|Bone_tumor:Aneurysmal_bone_cyst(COL1A1::USP6)								
7	94394895	94431227	COL1A2	Soft_tissue:Lipoblastoma_and_lipoblastomatosis(COL1A2::PLAG1)								
12	47972967	48004554	COL2A1	Bone_tumor:Central_chondrosarcoma,_grades_2 and_3(COL2A1_mutated)								
2	188974373	189012746	COL3A1	Soft_tissue:Lipoblastoma_and_lipoblastomatosis(COL3A1::PLAG1)								
2	237324003	237414328	COL6A3	Soft_tissue:Dermatofibrosarcoma_protuberans(COL6A3::PDGFD)								
17	17246616	17281273	COPS3	Soft_tissue:Extraskeletal_osteosarcoma(COPS3_gain_amp)								
12	68842197	68971570	CPM	Soft_tissue:Atypical_lipomatous_tumour/well_differentiated_liposarcoma(CPM_amp);Dedifferentiated_liposarcoma(CPM_amp)								
2	207529737	207605988	CREB1	Soft_tissue:Angiomatoid_fibrous_histiocytoma(EWSR1::CREB1);Clear_cell_sarcoma_of_soft_tissue(EWSR1::CREB1)								
11	46277662	46321409	CREB3L1	Soft_tissue:Low-grade_fibromyxoid_sarcoma(FUS::CREB3L1,EWSR1::CREB3L1);Sclerosing_epithelioid_fibrosarcoma(EWSR1::CREB3L1,PAX5::CREB3L1)								
7	137874979	138002086	CREB3L2	Soft_tissue:Low-grade_fibromyxoid_sarcoma(FUS::CREB3L2);Sclerosing_epithelioid_fibrosarcoma(EWSR1::CREB3L2,FUS::CREB3L2)								
19	4153631	4173054	CREB3L3	Soft_tissue:Sclerosing_epithelioid_fibrosarcoma(EWSR1::CREB3L3)								
16	3725054	3880713	CREBBP	Soft_tissue:Ossifying_fibromyxoid_tumour(CREBBP_SV)|Genetic_tumor_syndrome:Rubinstein-Taybi_syndrome_1(CREBBP)								
10	35126791	35212958	CREM	Soft_tissue:Sclerosing_epithelioid_fibrosarcoma(FUS::CREM)								
1	109910242	109930992	CSF1	Soft_tissue:Tenosynovail_giant_cell_tumour(CSF1_SV)								
3	41194741	41260096	CTNNB1	Soft_tissue:Desmoid_fibromatosis(CTNNB1_mutated);Embryonal_rhabdomyosarcoma(CTNNB1_SNV);Benign_triton_tumour/neuromuscular_choristoma(CTNNB1_SNV)|Bone_tumor:Aneurysmal_bone_cyst(CTNNB1::USP6)								
6	33318558	33323016	DAXX	Soft_tissue:Extraskeletal_osteosarcoma(DAXX_mutated)								
2	74361154	74392087	DCTN1	Soft_tissue:Inflammatory_myofibroblastic_tumour(DCTN1::ALK)								
12	57516588	57521737	DDIT3	Soft_tissue:Myxoid_liposarcoma(FUS::DDIT3,EWSR1::DDIT3);Intimal_sarcoma(DDIT3_amp)								
6	30876421	30900156	DDR1	Soft_tissue:Schwannoma(DDR1_mutated)								
14	95086228	95158010	DICER1	Genetic_tumor_syndrome:DICER1_syndrome(DICER1)								
13	50081725	50906856	DLEU1	Soft_tissue:Atypical_spindle_cell/pleomorphic_lipomatous_tumour(DLEU1_del)								
X	31097677	33339609	DMD	Soft_tissue:Sclerosing_epithelioid_fibrosarcoma(DMD_SV)								
2	25227855	25342590	DNMT3A	Soft_tissue:Extraskeletal_osteosarcoma(DNMT3A_mutated)								
4	190173774	190185942	DUX4	Undifferentiated_small_round_cell_sarcoma:CIC-rearranged_sarcoma(CIC::DUX4)								
17	7225342	7234517	DVL2	Soft_tissue:PEComa(DVL2::TFE3)								
11	86201212	86279807	EED	Soft_tissue:Malignant_peripheral_nerve_sheath_tumour(EED_mutated)								
4	109912883	110013766	EGF	Soft_tissue:Lipofibromatosis(::EGF);Calcifying_aponeurotic_fibroma(FN1::EGF)								
7	55019017	55211628	EGFR	Soft_tissue:Fibrous_hamartoma_of_infancy(EGFR_indel);Lipofibromatosis(EGFR::);Extraskeletal_osteosarcoma(EGFR_gain_amp);Intimal_sarcoma(EGFR_amp)|Bone_tumor:Central_chondrosarcoma,_grades_2 and_3(EGFR_mutated)								
11	125569280	125584684	EI24	Soft_tissue:Dedifferentiated_liposarcoma(EI24_del)								
17	41688885	41692668	EIF1	Bone_tumor:Aneurysmal_bone_cyst(EIF1::USP6)								
18	2847006	2916003	EMILIN2	Soft_tissue:Dermatofibrosarcoma_protuberans(EMILIN2::PDGFD)								
2	42169353	42332548	EML4	Soft_tissue:Inflammatory_myofibroblastic_tumour(EML4::ALK);Infantile_fibrosarcoma(EML4::NTRK3)								
12	131949942	132080460	EP400	Soft_tissue:Ossifying_fibromyxoid_tumour(EP400::PHF1)								
10	32267751	32378798	EPC1	Soft_tissue:Composite_haemangioendothelioma(EPC1::PCH2);Ossifying_fibromyxoid_tumour(EPC1::PHF1)								
12	56076799	56103505	ERBB3	Bone_tumor:Langerhans_cell_histiocytosis(ERBB3_SNV)								
21	38380027	38661780	ERG	Undifferentiated_small_round_cell_sarcoma:Ewing_sarcoma(EWSR1::ERG)								
12	11649674	11895377	ETV6	Soft_tissue:Inflammatory_myofibroblastic_tumour(ETV6::NTRK3);Infantile_fibrosarcoma(ETV6::NTRK3)								
22	29268009	29300525	EWSR1	Soft_tissue:Leiomyoma(EWSR1::PBX3);Myxoid_liposarcoma(EWSR1::DDIT3);EWSR1-SMAD3-positive_fibroblastic_tumour(EWSR1::SMAD3);Low-grade_fibromyxoid_sarcoma(EWSR1::CREB3L1);Sclerosing_epithelioid_fibrosarcoma(EWSR1::CREB3L1,EWSR1::CREB3L2EWSR1::CREB3L3);Spindle_cell/sclerosing_rhabdomyosarcoma(EWSR1::TFCP2);Angiomatoid_fibrous_histiocytoma(EWSR1::CREB1,EWSR1::ATF1);Myoepithelioma,_myoepithelial carcinoma,_and_mixed_tumour(EWSR1::POU5F1,EWSR1::PBX1,EWSR1::ZNF444,EWSR1::KLF17,EWSR1::ATF1,EWSR1::PBX3,EWSR1::);Clear_cell_sarcoma_of_soft_tissue(EWSR1::ATF1,EWSR1::CREB1);Extraskeletal_myxoid_chondrosarcoma(EWSR1::NR4A3);Desmoplastic_small_round_cell_tumour(EWSR1::WT1)|Undifferentiated_small_round_cell_sarcoma:Ewing_sarcoma(EWSR1::FLI,EWSR1::ERG,EWSR1::);Round_cell_sarcoma_with_EWSR1-non-ETS_fusions(EWSR1::NFATC2,EWSR1::PATZ1)								
8	117794490	118111826	EXT1	Bone_tumor:Osteochondroma(EXT1_SNV,EXT1_SV,EXT1_del);Secondary_peripheral_atypical_cartilaginous_tumour_/_chondrosarcoma,_grade_1(EXT1_SNV)|Genetic_tumor_syndrome:Multiple_osteochondromas(EXT1);Trichorhinophalangeal_syndrome_type_2(EXT1);Multiple_osteochondromas(EXT2);Potocki-Shaffer_syndrome(EXT2)								
11	44095648	44251962	EXT2	Bone_tumor:Osteochondroma(EXT2_SNV,EXT2_SV,EXT2_del);Secondary_peripheral_atypical_cartilaginous_tumour_/_chondrosarcoma,_grade_1(EXT2_SNV)								
10	88953813	89029605	FAS	Bone_tumor:Rosai-Dorfman_disease(FAS_SNV)								
4	186587794	186726722	FAT1	Soft_tissue:Atypical_fibroxanthoma(FAT1_mutated)								
4	152320544	152536092	FBXW7	Soft_tissue:Embryonal_rhabdomyosarcoma(FBXW7_SNV)								
5	142592178	142698070	FGF1	Soft_tissue:Phosphaturic_mesenchymal_tumour(FN1::FGF1)								
8	38400215	38468834	FGFR1	Soft_tissue:Soft_tissue_chondroma(FN1::FGFR1);Phosphaturic_mesenchymal_tumour(FN1::FGFR1)|Bone_tumor:Osteosarcoma(FGFR1_amp);Non-ossyfying_fibroma(FGFR1_SNV)								
10	121478332	121598458	FGFR2	Soft_tissue:Soft_tissue_chondroma(FN1::FGFR2)								
5	177086905	177098144	FGFR4	Soft_tissue:Embryonal_rhabdomyosarcoma(FGFR4_SNV)								
1	241497511	241519799	FH	Genetic_tumor_syndrome:Hereditary_leiomyomatosis_and_renal_cell_cancer(FH)								
11	128686535	128813267	FLI1	Undifferentiated_small_round_cell_sarcoma:Ewing_sarcoma(EWSR1::FLI1)								
5	180601506	180649624	FLT4	Soft_tissue:Angiosarcomas(FLT4_mutated);Genetic_tumor_syndrome:Haemangioma_capillary_infantile(FLT4)								
2	215360440	215436073	FN1	Soft_tissue:Inflammatory_myofibroblastic_tumour(FN1::ALK);Soft_tissue_chondroma(FN1::FGFR1,FN1::FGFR2);Calcifying_aponeurotic_fibroma(FN1::EGF);Phosphaturic_mesenchymal_tumour(FN1::FGFR1,FN1::FGF1)|Bone_tumor:Synovial_chondromatosis(FN1::ACVR2A,ACVR2A::FN1)								
14	75278826	75283190	FOS	Soft_tissue:Epithelioid_haemangioma(FOS::,FOS::LMNA)|Bone_tumor:Osteoid_osteoma(FOS_SV);Osteoblastoma(FOS_SV);Epithelioid_haemangioma_of_bone(FOS_SV);Epithelioid_haemangioma_of_bone(FOS::MBNL1,FOS::VIM,FOS::LMNA,FOS::)								
19	45467995	45475179	FOSB	Soft_tissue:Epithelioid_haemangioma(FOSB::,FOSB::ZFP36,FOSB::WWTR1,FOSB::ACTB);Pseudomyogenic_haemangioendothelioma(SERPINE1::FOSB,ACTB::FOSB)|Bone_tumor:Osteoblastoma(FOSB_SV);Epithelioid_haemangioma_of_bone(FOSB_SV);Epithelioid_haemangioma_of_bone(ZFP36::FOSB,WWTR1::FOSB)								
2	28392448	28417317	FOSL2	Bone_tumor:Aneurysmal_bone_cyst(FOSL2::USP6)								
13	40555667	40666641	FOXO1	Soft_tissue:Alveolar_rhabdomyosarcoma(PAX3::FOXO1,PAX7::FOXO1)								
X	71095851	71103535	FOXO4	Undifferentiated_small_round_cell_sarcoma:CIC-rearranged_sarcoma(CIC::FOXO4)								
14	51489100	51730727	FRMD6	Bone_tumor:Chondromyxoid_fibroma(FRMD6::GRM1)								
12	69470349	69579793	FRS2	Soft_tissue:Atypical_lipomatous_tumour/well_differentiated_liposarcoma(FRS2_amp)								
16	31180138	31196963	FUS	Soft_tissue:Myxoid_liposarcoma(FUS::DDIT3);Low-grade_fibromyxoid_sarcoma(FUS::CREB3L2,FUS::CREB3L1);Sclerosing_epithelioid_fibrosarcoma(FUS::CREB3L2,FUS::CREM);Spindle_cell/sclerosing_rhabdomyosarcoma(FUS::TFCP2);Angiomatoid_fibrous_histiocytoma(FUS::ATF1);Myoepithelioma,_myoepithelial carcinoma,_and_mixed_tumour(FUS::)|Undifferentiated_small_round_cell_sarcoma:Ewing_sarcoma(FUS::);Round_cell_sarcoma_with_EWSR1-non-ETS_fusions(FUS::NFATC2)								
4	143336876	143474565	GAB1	Soft_tissue:Angiofibroma_of_soft_tissue(GAB1::ABL1)								
12	57459785	57472268	GLI1	Soft_tissue:Extraskeletal_osteosarcoma(GLI1_mutated);Intimal_sarcoma(GLI1_amp)								
1	92246402	92298987	GLMN	Genetic_tumor_syndrome:Glomuvenous_malformations(GLMN)								
9	77423079	77648322	GNA14	Soft_tissue:Anastomosing_haemangioma(GNA14_SNV);Tufted_angioma_and_kaposiform_haemangioendothelioma(GNA14_SNV)								
9	77716097	78031811	GNAQ	Soft_tissue:Anastomosing_haemangioma(GNAQ_SNV)								
20	58839718	58911192	GNAS	Soft_tissue:Intramuscular_myxoma(GNAS_SNV)|Bone_tumor:Fibrous_dysplasia(GNAS_SNV)|Genetic_tumor_syndrome:McCune-Albright_syndrome(GNAS);Pseudohypoparathyrodism_type_1A(GNAS);Progressive_osseous_heteroplasia(GNAS);Pseudopseudohypoparathyroidism(GNAS)								
6	146027646	146437601	GRM1	Bone_tumor:Chondromyxoid_fibroma(TBL1XR1::GRM1,COL12A1::GRM1,BCLAF1::GRM1,FRMD6::GRM1,MYO1E::GRM1,MEF2A::GRM1,::GRM1)								
3	119821321	120094994	GSK3B	Soft_tissue:Extraskeletal_osteosarcoma(GSK3B_mutated)								
11	67583742	67586656	GSTP1	Soft_tissue:Elastofibroma(GSTP1_del)								
7	74650231	74760692	GTF2I	Soft_tissue:Angiofibroma_of_soft_tissue(GTF2I::NCOA2)								
11	1995165	2004552	H19	Genetic_tumor_syndrome:Beckwith-Wiedermann_syndrome(H19)								
1	226061851	226072019	H3-3A	Bone_tumor:Giant_cell_tumour_of_bone(H3-3A_SNV)								
17	75776434	75785893	H3-3B	Bone_tumor:Chondroblastoma(H3-3B_SNV)								
8	121612116	121641440	HAS2	Soft_tissue:Lipoblastoma_and_lipoblastomatosis(HAS2::PLAG1)								
5	140332843	140346603	HBEGF	Soft_tissue:Lipofibromatosis(HBEGF::)								
8	79762371	79767857	HEY1	Bone_tumor:Mesenchymal_chondrosarcoma(HEY1::NCOA2)								
6	34236873	34246231	HMGA1	Soft_tissue:Lipoma(HMGA1_SV)								
12	65824460	65966291	HMGA2	Soft_tissue:Lipoma(HMGA2::LPP,HMGA2_SV,HMGA2::);Myolipoma_of_soft_tissue(HMGA2::C9orf92);Atypical_lipomatous_tumour/well_differentiated_liposarcoma(HMGA2_amp);Leiomyoma(HMGA2_mutated);Deep_(aggressive)_angiomyxoma(HMGA2_SV);Intimal_sarcoma(HMGA2_amp)								
12	54280193	54287088	HNRNPA1	Soft_tissue:Inflammatory_myofibroblastic_tumour(HNRNPA1::ALK)								
11	532242	537321	HRAS	Soft_tissue:Ectomesenchymoma(HRAS_SNV);Embryonal_rhabdomyosarcoma(HRAS_SNV)|Genetic_tumor_syndrome:Costello_syndrome(HRAS)								
10	122458551	122514907	HTRA1	Soft_tissue:Schwannoma(SH3PXD2A::HTRA1)								
11	1998202	2003509	ICR1	Genetic_tumor_syndrome:Beckwith-Wiedermann_syndrome(ICR1)								
2	208236229	208266074	IDH1	Bone_tumor:Periosteal_chondroma(IDH1_SNV);Enchondroma(IDH1_SNV);Central_atypical_cartilaginous_tumour_/_chondrosarcoma,_grade_1(IDH1_SNV);Central_chondrosarcoma,_grades_2 and_3(IDH1_SNV);Periosteal_chondrosarcoma(IDH1_SNV);Dedifferentiated_chondrosarcoma(IDH1_SNV)|Genetic_tumor_syndrome:Enchondromatosis(IDH1)								
15	90083045	90102477	IDH2	Bone_tumor:Periosteal_chondroma(IDH2_SNV);Enchondroma(IDH2_SNV);Central_atypical_cartilaginous_tumour_/_chondrosarcoma,_grade_1(IDH2_SNV);Central_chondrosarcoma,_grades_2 and_3(IDH2_SNV);Periosteal_chondrosarcoma(IDH2_SNV);Dedifferentiated_chondrosarcoma(IDH2_SNV)|Genetic_tumor_syndrome:Enchondromatosis(IDH2)								
14	105586437	106879844	IGH	Bone_tumor:Solitary_plasmacytoma_of_bone(IGH_SV);Primary_non-Hodgkin_lymphoma_of_bone(IGH_SV)								
2	219054424	219060921	IHH	Bone_tumor:Central_chondrosarcoma,_grades_2 and_3(IHH_mutated)								
X	108719946	108736563	IRS4	Bone_tumor:Subungual_exostosis(IRS4_SV)								
13	48232612	48270357	ITM2B	Soft_tissue:Atypical_spindle_cell/pleomorphic_lipomatous_tumour(ITM2B_del)								
1	27830573	28180795	JAZ1	Soft_tissue:Endometrial_stromal_sarcoma(JAZ1::SUZ12)|GYN:Endometrial_stromal_cell_nodulus(JAZ1::SUZ12)								
1	58776845	58784048	JUN	Soft_tissue:Dedifferentiated_liposarcoma(JUN_amp)								
17	46029916	46225389	KANSL1	Soft_tissue:Leiomyoma(KAT6B::KANSL1)								
10	74824927	75032624	KAT6B	Soft_tissue:Leiomyoma(KAT6B::KANSL1)								
11	2424025	2700003	KCNQ1QT1	Genetic_tumor_syndrome:Beckwith-Wiedermann_syndrome(KCNQ1QT1)								
11	67119263	67258082	KDM2A	Soft_tissue:Ossifying_fibromyxoid_tumour(KDM2A_SV)								
4	55078481	55125595	KDR	Soft_tissue:Angiosarcomas(KDR_mutated)|Genetic_tumor_syndrome:Haemangioma_capillary_infantile(KDR)								
4	54657267	54740783	KIT	Soft_tissue:Gastrointestinal_stromal_tumour(KIT_INDEL_SNV);Intimal_sarcoma(KIT_amp)|Genetic_tumor_syndrome:GIST_familial(KIT)								
1	44118821	44135140	KLF17	Soft_tissue:Myoepithelioma,_myoepithelial carcinoma,_and_mixed_tumour(EWSR1::KLF17)								
12	25205246	25250936	KRAS	Soft_tissue:Glomous_tumour(KRAS_SNV);Embryonal_rhabdomyosarcoma(KRAS_SNV)|Bone_tumor:Non-ossyfying_fibroma(KRAS_SNV);Langerhans_cell_histiocytosis(KRAS_SNV);Erdheim-Chester_disease(KRAS_SNV);Rosai-Dorfman_disease(KRAS_SNV)								
11	72085895	72103297	LAMTOR1	Soft_tissue:Deep_fibrous_histiocytoma(LAMTOR1::PRKCD)								
6	149658153	149718105	LATS1	Soft_tissue:Schwannoma(LATS1_mutated)								
13	20973036	21061586	LATS2	Soft_tissue:Schwannoma(LATS2_mutated)								
12	65169583	65248355	LEMD3	Bone_tumor:Osteoma(LEMD3_mutated)|Genetic_tumor_syndrome:Buschke-Ollendorff_syndrome(LEMD3)								
19	39776595	39786291	LEUTX	Undifferentiated_small_round_cell_sarcoma:CIC-rearranged_sarcoma(CIC::LEUTX)								
1	156082572	156140081	LMNA	Soft_tissue:Inflammatory_myofibroblastic_tumour(LMNA::ALK);Epithelioid_haemangioma(FOS::LMNA);NTRK-rearranged spindle cell neoplasm(LMNA::NTRK1)|Bone_tumor:Epithelioid_haemangioma_of_bone(FOS::LMNA)								
3	115802374	117997592	LSAMP	Soft_tissue:Extraskeletal_osteosarcoma(LSAMP_del)								
11	95976598	96343195	MAML2	Soft_tissue:Composite_haemangioendothelioma(PTBP1::MAML2)|Undifferentiated_small_round_cell_sarcoma:Sarcoma_with_BCOR_genetic_alterations(BCOR::MAML2)								
