chromosome	start 	end 	gene	mutation	
3	41236328	41301587	CTNNB1	Soft_tissue:Desmoid_fibromatosis(CTNNB1_mutated);Embryonal_rhabdomyosarcoma(CTNNB1_SNV);Benign_triton_tumour/neuromuscular_choristoma(CTNNB1_SNV)|Bone_tumor:Aneurysmal_bone_cyst(CTNNB1::USP6)	
6	33286335	33297046	DAXX	Soft_tissue:Extraskeletal_osteosarcoma(DAXX_mutated)	
6	33286335	33297046	DAXX2	Soft_tissue:Extraskeletal_osteosarcoma(DAXX2_mutated)	
2	74588281	74619214	DCTN1	Soft_tissue:Inflammatory_myofibroblastic_tumour(DCTN1::ALK)	
12	57910371	57914300	DDIT3	Soft_tissue:Myxoid_liposarcoma(FUS::DDIT3,EWSR1::DDIT3);Intimal_sarcoma(DDIT3_amp)	
6	30844198	30867933	DDR1	Soft_tissue:Schwannoma(DDR1_mutated)	
14	95552565	95624347	DICER1	Genetic_tumor_syndrome:DICER1_syndrome(DICER1)	
13	50656307	51297372	DLEU1	Soft_tissue:Atypical_spindle_cell/pleomorphic_lipomatous_tumour(DLEU1_del)	
X	31115794	33357558	DMD	Soft_tissue:Sclerosing_epithelioid_fibrosarcoma(DMD_SV)	
2	25455845	25565459	DNMT3A	Soft_tissue:Extraskeletal_osteosarcoma(DNMT3A_mutated)	
4	191005267	191007077	DUX4	Undifferentiated_small_round_cell_sarcoma:CIC-rearranged_sarcoma(CIC::DUX4)	
17	7128660	7137864	DVL2	Soft_tissue:PEComa(DVL2::TFE3)	
11	85955586	85989855	EED	Soft_tissue:Malignant_peripheral_nerve_sheath_tumour(EED_mutated)	
4	110834040	110933422	EGF	Soft_tissue:Lipofibromatosis(::EGF);Calcifying_aponeurotic_fibroma(FN1::EGF)	
7	55086714	55324313	EGFR	Soft_tissue:Fibrous_hamartoma_of_infancy(EGFR_indel);Lipofibromatosis(EGFR::);Extraskeletal_osteosarcoma(EGFR_gain_amp);Intimal_sarcoma(EGFR_amp)|Bone_tumor:Central_chondrosarcoma,_grades_2 and_3(EGFR_mutated)	
11	125439112	125454575	EI24	Soft_tissue:Dedifferentiated_liposarcoma(EI24_del)	
17	39845137	39848920	EIF1	Bone_tumor:Aneurysmal_bone_cyst(EIF1::USP6)	
18	2847028	2915991	EMILIN2	Soft_tissue:Dermatofibrosarcoma_protuberans(EMILIN2::PDGFD)	
2	42396490	42559688	EML4	Soft_tissue:Inflammatory_myofibroblastic_tumour(EML4::ALK);Infantile_fibrosarcoma(EML4::NTRK3)	
12	132434508	132565005	EP400	Soft_tissue:Ossifying_fibromyxoid_tumour(EP400::PHF1)	
10	32556679	32667726	EPC1	Soft_tissue:Composite_haemangioendothelioma(EPC1::PCH2);Ossifying_fibromyxoid_tumour(EPC1::PHF1)	
12	56473641	56497289	ERBB3	Bone_tumor:Langerhans_cell_histiocytosis(ERBB3_SNV)	
21	39751949	40033704	ERG	Undifferentiated_small_round_cell_sarcoma:Ewing_sarcoma(EWSR1::ERG)	
12	11802788	12048336	ETV6	Soft_tissue:Inflammatory_myofibroblastic_tumour(ETV6::NTRK3);Infantile_fibrosarcoma(ETV6::NTRK3)	
22	29663998	29696515	EWSR1	Soft_tissue:Leiomyoma(EWSR1::PBX3);Myxoid_liposarcoma(EWSR1::DDIT3);EWSR1-SMAD3-positive_fibroblastic_tumour(EWSR1::SMAD3);Low-grade_fibromyxoid_sarcoma(EWSR1::CREB3L1);Sclerosing_epithelioid_fibrosarcoma(EWSR1::CREB3L1,EWSR1::CREB3L2EWSR1::CREB3L3);Spindle_cell/sclerosing_rhabdomyosarcoma(EWSR1::TFCP2);Angiomatoid_fibrous_histiocytoma(EWSR1::CREB1,EWSR1::ATF1);Myoepithelioma,_myoepithelial carcinoma,_and_mixed_tumour(EWSR1::POU5F1,EWSR1::PBX1,EWSR1::ZNF444,EWSR1::KLF17,EWSR1::ATF1,EWSR1::PBX3,EWSR1::);Clear_cell_sarcoma_of_soft_tissue(EWSR1::ATF1,EWSR1::CREB1);Extraskeletal_myxoid_chondrosarcoma(EWSR1::NR4A3);Desmoplastic_small_round_cell_tumour(EWSR1::WT1)|Undifferentiated_small_round_cell_sarcoma:Ewing_sarcoma(EWSR1::FLI,EWSR1::ERG,EWSR1::);Round_cell_sarcoma_with_EWSR1-non-ETS_fusions(EWSR1::NFATC2,EWSR1::PATZ1)	
8	118806729	119124092	EXT1	Bone_tumor:Osteochondroma(EXT1_SNV,EXT1_SV,EXT1_del);Secondary_peripheral_atypical_cartilaginous_tumour_/_chondrosarcoma,_grade_1(EXT1_SNV)|Genetic_tumor_syndrome:Multiple_osteochondromas(EXT1);Trichorhinophalangeal_syndrome_type_2(EXT1);Multiple_osteochondromas(EXT2);Potocki-Shaffer_syndrome(EXT2)	
11	44117099	44266979	EXT2	Bone_tumor:Osteochondroma(EXT2_SNV,EXT2_SV,EXT2_del);Secondary_peripheral_atypical_cartilaginous_tumour_/_chondrosarcoma,_grade_1(EXT2_SNV)	
10	90750414	90775542	FAS	Bone_tumor:Rosai-Dorfman_disease(FAS_SNV)	
4	187508937	187647876	FAT1	Soft_tissue:Atypical_fibroxanthoma(FAT1_mutated)	
4	153242410	153457253	FBXW7	Soft_tissue:Embryonal_rhabdomyosarcoma(FBXW7_SNV)	
5	141971743	142077617	FGF1	Soft_tissue:Phosphaturic_mesenchymal_tumour(FN1::FGF1)	
8	38268656	38326352	FGFR1	Soft_tissue:Soft_tissue_chondroma(FN1::FGFR1);Phosphaturic_mesenchymal_tumour(FN1::FGFR1)|Bone_tumor:Osteosarcoma(FGFR1_amp);Non-ossyfying_fibroma(FGFR1_SNV)	
10	123237848	123357972	FGFR2	Soft_tissue:Soft_tissue_chondroma(FN1::FGFR2)	
5	176513887	176525145	FGFR4	Soft_tissue:Embryonal_rhabdomyosarcoma(FGFR4_SNV)	
1	241660903	241683061	FH	Genetic_tumor_syndrome:Hereditary_leiomyomatosis_and_renal_cell_cancer(FH)	
11	128556430	128683162	FLI1	Undifferentiated_small_round_cell_sarcoma:Ewing_sarcoma(EWSR1::FLI1)	
5	180028506	180076624	FLT4	Soft_tissue:Angiosarcomas(FLT4_mutated);Genetic_tumor_syndrome:Haemangioma_capillary_infantile(FLT4)	
2	216225163	216300895	FN1	Soft_tissue:Inflammatory_myofibroblastic_tumour(FN1::ALK);Soft_tissue_chondroma(FN1::FGFR1,FN1::FGFR2);Calcifying_aponeurotic_fibroma(FN1::EGF);Phosphaturic_mesenchymal_tumour(FN1::FGFR1,FN1::FGF1)|Bone_tumor:Synovial_chondromatosis(FN1::ACVR2A,ACVR2A::FN1)	
14	75745477	75748933	FOS	Soft_tissue:Epithelioid_haemangioma(FOS::,FOS::LMNA)|Bone_tumor:Osteoid_osteoma(FOS_SV);Osteoblastoma(FOS_SV);Epithelioid_haemangioma_of_bone(FOS_SV);Epithelioid_haemangioma_of_bone(FOS::MBNL1,FOS::VIM,FOS::LMNA,FOS::)	
19	45971253	45978437	FOSB	Soft_tissue:Epithelioid_haemangioma(FOSB::,FOSB::ZFP36,FOSB::WWTR1,FOSB::ACTB);Pseudomyogenic_haemangioendothelioma(SERPINE1::FOSB,ACTB::FOSB)|Bone_tumor:Osteoblastoma(FOSB_SV);Epithelioid_haemangioma_of_bone(FOSB_SV);Epithelioid_haemangioma_of_bone(ZFP36::FOSB,WWTR1::FOSB)	
2	28615315	28640179	FOSL2	Bone_tumor:Aneurysmal_bone_cyst(FOSL2::USP6)	
13	41129804	41240734	FOXO1	Soft_tissue:Alveolar_rhabdomyosarcoma(PAX3::FOXO1,PAX7::FOXO1)	
X	70316047	70323385	FOXO4	Undifferentiated_small_round_cell_sarcoma:CIC-rearranged_sarcoma(CIC::FOXO4)	
14	51955818	52197445	FRMD6	Bone_tumor:Chondromyxoid_fibroma(FRMD6::GRM1)	
12	69864129	69973562	FRS2	Soft_tissue:Atypical_lipomatous_tumour/well_differentiated_liposarcoma(FRS2_amp)	
16	31191431	31203127	FUS	Soft_tissue:Myxoid_liposarcoma(FUS::DDIT3);Low-grade_fibromyxoid_sarcoma(FUS::CREB3L2,FUS::CREB3L1);Sclerosing_epithelioid_fibrosarcoma(FUS::CREB3L2,FUS::CREM);Spindle_cell/sclerosing_rhabdomyosarcoma(FUS::TFCP2);Angiomatoid_fibrous_histiocytoma(FUS::ATF1);Myoepithelioma,_myoepithelial carcinoma,_and_mixed_tumour(FUS::)|Undifferentiated_small_round_cell_sarcoma:Ewing_sarcoma(FUS::);Round_cell_sarcoma_with_EWSR1-non-ETS_fusions(FUS::NFATC2)	
4	144257915	144395721	GAB1	Soft_tissue:Angiofibroma_of_soft_tissue(GAB1::ABL1)	
12	57853918	57866045	GLI1	Soft_tissue:Extraskeletal_osteosarcoma(GLI1_mutated);Intimal_sarcoma(GLI1_amp)	
1	92711959	92764544	GLMN	Genetic_tumor_syndrome:Glomuvenous_malformations(GLMN)	
9	80037995	80263223	GNA14	Soft_tissue:Anastomosing_haemangioma(GNA14_SNV);Tufted_angioma_and_kaposiform_haemangioendothelioma(GNA14_SNV)	
9	80331003	80646374	GNAQ	Soft_tissue:Anastomosing_haemangioma(GNAQ_SNV)	
20	57414773	57486247	GNAS	Soft_tissue:Intramuscular_myxoma(GNAS_SNV)|Bone_tumor:Fibrous_dysplasia(GNAS_SNV)|Genetic_tumor_syndrome:McCune-Albright_syndrome(GNAS);Pseudohypoparathyrodism_type_1A(GNAS);Progressive_osseous_heteroplasia(GNAS);Pseudopseudohypoparathyroidism(GNAS)	
6	146348782	146758734	GRM1	Bone_tumor:Chondromyxoid_fibroma(TBL1XR1::GRM1,COL12A1::GRM1,BCLAF1::GRM1,FRMD6::GRM1,MYO1E::GRM1,MEF2A::GRM1,::GRM1)	
3	119540170	119813264	GSK3B	Soft_tissue:Extraskeletal_osteosarcoma(GSK3B_mutated)	
11	67351066	67354131	GSTP1	Soft_tissue:Elastofibroma(GSTP1_del)	
7	74071994	74175026	GTF2I	Soft_tissue:Angiofibroma_of_soft_tissue(GTF2I::NCOA2)	
11	2016406	2022700	H19	Genetic_tumor_syndrome:Beckwith-Wiedermann_syndrome(H19)	
1	226249552	226259702	H3-3A	Bone_tumor:Giant_cell_tumour_of_bone(H3-3A_SNV)	
17	73772515	73781974	H3-3B	Bone_tumor:Chondroblastoma(H3-3B_SNV)	
8	122624356	122653630	HAS2	Soft_tissue:Lipoblastoma_and_lipoblastomatosis(HAS2::PLAG1)	
5	139712428	139726216	HBEGF	Soft_tissue:Lipofibromatosis(HBEGF::)	
8	80676245	80680098	HEY1	Bone_tumor:Mesenchymal_chondrosarcoma(HEY1::NCOA2)	
6	34204650	34214008	HMGA1	Soft_tissue:Lipoma(HMGA1_SV)	
12	66217911	66360075	HMGA2	Soft_tissue:Lipoma(HMGA2::LPP,HMGA2_SV,HMGA2::);Myolipoma_of_soft_tissue(HMGA2::C9orf92);Atypical_lipomatous_tumour/well_differentiated_liposarcoma(HMGA2_amp);Leiomyoma(HMGA2_mutated);Deep_(aggressive)_angiomyxoma(HMGA2_SV);Intimal_sarcoma(HMGA2_amp)	
12	54673977	54680872	HNRNPA1	Soft_tissue:Inflammatory_myofibroblastic_tumour(HNRNPA1::ALK)	
11	532242	537287	HRAS	Soft_tissue:Ectomesenchymoma(HRAS_SNV);Embryonal_rhabdomyosarcoma(HRAS_SNV)|Genetic_tumor_syndrome:Costello_syndrome(HRAS)	
10	124221041	124274424	HTRA1	Soft_tissue:Schwannoma(SH3PXD2A::HTRA1)	
11	2019975	2024739	ICR1	Genetic_tumor_syndrome:Beckwith-Wiedermann_syndrome(ICR1)	
2	209100951	209130798	IDH1	Bone_tumor:Periosteal_chondroma(IDH1_SNV);Enchondroma(IDH1_SNV);Central_atypical_cartilaginous_tumour_/_chondrosarcoma,_grade_1(IDH1_SNV);Central_chondrosarcoma,_grades_2 and_3(IDH1_SNV);Periosteal_chondrosarcoma(IDH1_SNV);Dedifferentiated_chondrosarcoma(IDH1_SNV)|Genetic_tumor_syndrome:Enchondromatosis(IDH1)	
15	90626277	90645736	IDH2	Bone_tumor:Periosteal_chondroma(IDH2_SNV);Enchondroma(IDH2_SNV);Central_atypical_cartilaginous_tumour_/_chondrosarcoma,_grade_1(IDH2_SNV);Central_chondrosarcoma,_grades_2 and_3(IDH2_SNV);Periosteal_chondrosarcoma(IDH2_SNV);Dedifferentiated_chondrosarcoma(IDH2_SNV)|Genetic_tumor_syndrome:Enchondromatosis(IDH2)	
14	106052774	107288051	IGH	Bone_tumor:Solitary_plasmacytoma_of_bone(IGH_SV);Primary_non-Hodgkin_lymphoma_of_bone(IGH_SV)
2	219919142	219925189	IHH	Bone_tumor:Central_chondrosarcoma,_grades_2 and_3(IHH_mutated)	
X	107975712	107979651	IRS4	Bone_tumor:Subungual_exostosis(IRS4_SV)	
13	48807294	48837063	ITM2B	Soft_tissue:Atypical_spindle_cell/pleomorphic_lipomatous_tumour(ITM2B_del)	
7	27870192	28220362	JAZ1	Soft_tissue:Endometrial_stromal_sarcoma(JAZ1::SUZ12)|GYN:Endometrial_stromal_cell_nodulus(JAZ1::SUZ12)	
1	59246465	59249785	JUN	Soft_tissue:Dedifferentiated_liposarcoma(JUN_amp)	
17	44107282	44302733	KANSL1	Soft_tissue:Leiomyoma(KAT6B::KANSL1)	
10	76585340	76792380	KAT6B	Soft_tissue:Leiomyoma(KAT6B::KANSL1)	
11	2629558	2721224	KCNQ1QT1	Genetic_tumor_syndrome:Beckwith-Wiedermann_syndrome(KCNQ1QT1)	
11	66886740	67025558	KDM2A	Soft_tissue:Ossifying_fibromyxoid_tumour(KDM2A_SV)	
4	55944644	55991756	KDR	Soft_tissue:Angiosarcomas(KDR_mutated)|Genetic_tumor_syndrome:Haemangioma_capillary_infantile(KDR)	
4	55524085	55606881	KIT	Soft_tissue:Gastrointestinal_stromal_tumour(KIT_INDEL_SNV);Intimal_sarcoma(KIT_amp)|Genetic_tumor_syndrome:GIST_familial(KIT)	
1	44584522	44600812	KLF17	Soft_tissue:Myoepithelioma,_myoepithelial carcinoma,_and_mixed_tumour(EWSR1::KLF17)	
12	25357723	25403870	KRAS	Soft_tissue:Glomous_tumour(KRAS_SNV);Embryonal_rhabdomyosarcoma(KRAS_SNV)|Bone_tumor:Non-ossyfying_fibroma(KRAS_SNV);Langerhans_cell_histiocytosis(KRAS_SNV);Erdheim-Chester_disease(KRAS_SNV);Rosai-Dorfman_disease(KRAS_SNV)	
11	71796941	71814433	LAMTOR1	Soft_tissue:Deep_fibrous_histiocytoma(LAMTOR1::PRKCD)	
6	149979289	150039392	LATS1	Soft_tissue:Schwannoma(LATS1_mutated)	
13	21547171	21635686	LATS2	Soft_tissue:Schwannoma(LATS2_mutated)	
12	65563351	65642107	LEMD3	Bone_tumor:Osteoma(LEMD3_mutated)|Genetic_tumor_syndrome:Buschke-Ollendorff_syndrome(LEMD3)	
19	40267235	40276775	LEUTX	Undifferentiated_small_round_cell_sarcoma:CIC-rearranged_sarcoma(CIC::LEUTX)	
1	156052364	156109880	LMNA	Soft_tissue:Inflammatory_myofibroblastic_tumour(LMNA::ALK);Epithelioid_haemangioma(FOS::LMNA);NTRK-rearranged spindle cell neoplasm(LMNA::NTRK1)|Bone_tumor:Epithelioid_haemangioma_of_bone(FOS::LMNA)	
3	115521235	117716095	LSAMP	Soft_tissue:Extraskeletal_osteosarcoma(LSAMP_del)	
